Test No.,x1,x2,x3,x4,y (overrun)
1,-1,-1,-1,-1,458
2,1,-1,1,1,323
3,-1,1,1,1,355
4,1,1,-1,-1,353
5,-1,-1,1,-1,404
6,1,-1,-1,1,360
7,-1,1,-1,1,376
8,1,1,1,-1,314
9,-1,-1,-1,1,404
10,1,-1,1,-1,361
11,-1,1,1,-1,361
12,1,1,-1,1,388
13,-1,-1,1,1,377
14,1,-1,-1,-1,393
15,-1,1,-1,-1,427
16,1,1,1,1,312
17,-2,0,0,0,262
18,2,0,0,0,151
19,0,-2,0,0,441
20,0,2,0,0,348
21,0,0,-2,0,419
22,0,0,2,0,366
23,0,0,0,-2,514
24,0,0,0,2,442
25,0,0,0,0,548
26,0,0,0,0,532
27,0,0,0,0,526
28,0,0,0,0,541
29,0,0,0,0,518
30,0,0,0,0,537
31,0,0,0,0,516
